"NUM","NAME","PRO","DATE","PLACE","COU","COD","LON","LAT",1955
1603,"Sentimenti Primo","FOO","1926-12-28 15:30:00-01:00","BOMPORTO","IT","MO","11.25","44.6",
1604,"Serantoni Pietro","FOO","1906-12-12 02:30:00-01:00","VENEZIA","IT","VE","12.5","45.5",
1605,"Silvestri Arturo","FOO","1921-06-14 13:30:00-01:00","FOSSALTA DI PIA","IT","VE","12.5","45.5",
1606,"Sperotto Giovanni","FOO","1927-11-13 08:30:00-01:00","BREGANZE","IT","VI",12,"45.5",
1607,"Stellin Adone","FOO","1921-03-03 08:00:00-01:00","SCHIO","IT","VI",12,"45.5",
1608,"Todeschini Paolo","FOO","1920-09-22 01:15:00-01:00","MILANO","IT","MI","9.25","45.5",
1609,"Tognon Omero","FOO","1924-03-03 15:00:00-01:00","PADOVA","IT","PD","12.25","45.4",
1610,"Toppan Gianni","FOO","1920-11-08 01:00:00-01:00","SEQUALS","IT","UD","13.5",46,
1611,"Tortul Mario","FOO","1931-02-25 20:00:00-01:00","S. CANZIAN D'IS","IT","GO","13.5",46,
1612,"Turchi Giorgio","FOO","1931-10-26 10:30:00-01:00","CARPI","IT","MO","11.25","44.6",
1613,"Turconi Angelo","FOO","1923-07-05 15:00:00-01:00","SOLBIATE OLONA","IT","VA",9,"45.8",
1614,"Venturi Arcadio","FOO","1929-05-18 02:00:00-01:00","VIGNOLA","IT","MO","11.25","44.6",
1615,"Gauquelin-A1-1615","FOO","1931-01-25 21:30:00-01:00","ALTAVILLA","IT","VI",12,"45.5",
1616,"Viola Giovanni","FOO","1926-06-20 02:00:00-01:00","S. BENIGNO CANA","IT","TO",8,45,
1617,"Virgili Giuseppe","FOO","1935-07-24 16:30:00-01:00","UDINE","IT","UD","13.5",46,
1618,"Vitali Giancarlo","FOO","1926-07-21 05:00:00-01:00","MEDESANO","IT","PR","10.75","44.8",
1619,"Gauquelin-A1-1619","FOO","1928-01-06 07:10:00-01:00","BRUSCIANO","IT","NA",14,"40.9",
1620,"Zagatti Francesco","FOO","1932-04-18 03:00:00-01:00","VENARIA","IT","TO",8,45,
1621,"Zironi Otello","FOO","1917-01-02 05:00:00-01:00","SASSUOLO","IT","MO","11.25","44.6",
1622,"Adams Fernand","FOO","1903-05-03 17:00:00+00:00","ANDERLECHT","BE","BRA","4.25","50.85",
1623,"Andrieu Emile","FOO","1881-02-01 01:43:00+00:00","ST-GILLES","BE","BRA","4.25","50.85",
1624,"Anoul Leopold","FOO","1922-08-19 19:30:00+00:00","ST-NICOLAS","BE","LIE","5.5","50.65",
1625,"Gauquelin-A1-1625","FOO","1909-06-25 06:30:00+00:00","LAEKEN","BE","BRA","4.25","50.85",
1626,"Bare Yves","FOO","1938-10-28 11:00:00+00:00","WIHOGNE","BE","LIE","5.5","50.65",
1627,"Bastin Desire","FOO","1900-03-04 16:00:00+00:00","ANVERS","BE","ANT","4.5","51.23333",
1628,"Bie Jean","FOO","1892-05-09 17:00:00+00:00","MOLENBEEK ST-JE","BE","BRA","4.25","50.85",
1629,"Boesman Gustave","FOO","1899-01-19 09:00:00+00:00","GAND","BE","OVL","3.75","51.08333",
1630,"Braine Pierre","FOO","1900-10-26 06:00:00+00:00","LEOPOLDSBURG","BE","LIM","5.5","50.78333",
1631,"Braine Raymond","FOO","1907-04-28 13:30:00+00:00","ANVERS","BE","ANT","4.5","51.23333",
1632,"Cambier Charles","FOO","1884-01-05 22:47:00+00:00","BRUGES","BE","WVL","3.25","51.21667",
1633,"Capelle Jean","FOO","1913-10-26 01:00:00+00:00","OUGREE","BE","LIE","5.5","50.65",
1634,"Carre Louis","FOO","1925-01-07 15:15:00+00:00","LIEGE","BE","LIE","5.5","50.65",
1635,"Caudron Jean","FOO","1899-11-15 22:00:00+00:00","ANDERLECHT","BE","BRA","4.25","50.85",
1636,"Chaves D'Aguilar Freddy","FOO","1918-10-08 08:00:00+00:00","GAND","BE","OVL","3.75","51.08333",
1637,"Claessens Jean","FOO","1908-06-18 03:00:00+00:00","ANDERLECHT","BE","BRA","4.25","50.85",
1638,"Coppens Rik","FOO","1918-10-03 15:00:00+00:00","MALINES","BE","ANT","4.5","51.23333",
1639,"Coppens Rik","FOO","1930-04-29 11:00:00+00:00","ANVERS","BE","ANT","4.5","51.23333",
1640,"Dalem Pierre","FOO","1912-03-16 12:00:00+00:00","COMBLAIN-AU-PON","BE","LIE","5.5","50.65",
1641,"De Decker Ferdiand","FOO","1919-02-19 15:00:00+00:00","ZWIJNDRECHT","BE","ANT","4.5","51.23333",
1642,"Dehert Albert","FOO","1921-11-18 07:30:00+00:00","BERCHEM","BE","ANT","4.5","51.23333",
