profession,professionLabel
http://www.wikidata.org/entity/Q11820979,Q11820979
http://www.wikidata.org/entity/Q11826422,Q11826422
http://www.wikidata.org/entity/Q11826536,Q11826536
http://www.wikidata.org/entity/Q11830641,Q11830641
http://www.wikidata.org/entity/Q11833228,Q11833228
http://www.wikidata.org/entity/Q1183717,Q1183717
http://www.wikidata.org/entity/Q11871806,Q11871806
http://www.wikidata.org/entity/Q11880378,Q11880378
http://www.wikidata.org/entity/Q11882337,Q11882337
http://www.wikidata.org/entity/Q1188535,Q1188535
http://www.wikidata.org/entity/Q11904175,Q11904175
http://www.wikidata.org/entity/Q11904199,Q11904199
http://www.wikidata.org/entity/Q11904218,Q11904218
http://www.wikidata.org/entity/Q11904287,Q11904287
http://www.wikidata.org/entity/Q11905300,Q11905300
http://www.wikidata.org/entity/Q1191617,Q1191617
http://www.wikidata.org/entity/Q11916378,Q11916378
http://www.wikidata.org/entity/Q11918031,Q11918031
http://www.wikidata.org/entity/Q11921096,Q11921096
http://www.wikidata.org/entity/Q11921456,Q11921456
http://www.wikidata.org/entity/Q11926077,Q11926077
http://www.wikidata.org/entity/Q11931855,Q11931855
http://www.wikidata.org/entity/Q11932295,Q11932295
http://www.wikidata.org/entity/Q11940019,Q11940019
http://www.wikidata.org/entity/Q11942099,Q11942099
http://www.wikidata.org/entity/Q11942547,Q11942547
http://www.wikidata.org/entity/Q11945515,Q11945515
http://www.wikidata.org/entity/Q11950752,Q11950752
http://www.wikidata.org/entity/Q11952019,Q11952019
http://www.wikidata.org/entity/Q11959183,Q11959183
http://www.wikidata.org/entity/Q11960242,Q11960242
http://www.wikidata.org/entity/Q11960309,Q11960309
http://www.wikidata.org/entity/Q11960402,Q11960402
http://www.wikidata.org/entity/Q11960880,Q11960880
http://www.wikidata.org/entity/Q11961713,Q11961713
http://www.wikidata.org/entity/Q11962693,Q11962693
http://www.wikidata.org/entity/Q11962754,Q11962754
http://www.wikidata.org/entity/Q11965032,Q11965032
http://www.wikidata.org/entity/Q11965683,Q11965683
http://www.wikidata.org/entity/Q11965857,Q11965857
http://www.wikidata.org/entity/Q11967047,Q11967047
http://www.wikidata.org/entity/Q11967349,Q11967349
http://www.wikidata.org/entity/Q11969020,Q11969020
http://www.wikidata.org/entity/Q11969376,Q11969376
http://www.wikidata.org/entity/Q11972018,Q11972018
http://www.wikidata.org/entity/Q11973490,Q11973490
http://www.wikidata.org/entity/Q11976343,Q11976343
http://www.wikidata.org/entity/Q11976509,Q11976509
http://www.wikidata.org/entity/Q11977354,Q11977354
http://www.wikidata.org/entity/Q11977377,Q11977377
http://www.wikidata.org/entity/Q11977387,Q11977387
http://www.wikidata.org/entity/Q11980058,Q11980058
http://www.wikidata.org/entity/Q11981106,Q11981106
http://www.wikidata.org/entity/Q11981649,Q11981649
http://www.wikidata.org/entity/Q11981787,Q11981787
http://www.wikidata.org/entity/Q11981788,Q11981788
http://www.wikidata.org/entity/Q11989484,Q11989484
http://www.wikidata.org/entity/Q11994865,Q11994865
http://www.wikidata.org/entity/Q11995952,Q11995952
http://www.wikidata.org/entity/Q11996104,Q11996104
http://www.wikidata.org/entity/Q11996316,Q11996316
http://www.wikidata.org/entity/Q11996673,Q11996673
http://www.wikidata.org/entity/Q11997114,Q11997114
http://www.wikidata.org/entity/Q11997333,Q11997333
http://www.wikidata.org/entity/Q11999197,Q11999197
http://www.wikidata.org/entity/Q12001223,Q12001223
http://www.wikidata.org/entity/Q12001286,Q12001286
http://www.wikidata.org/entity/Q12006570,Q12006570
http://www.wikidata.org/entity/Q12007190,Q12007190
http://www.wikidata.org/entity/Q1200721,Q1200721
http://www.wikidata.org/entity/Q12010078,Q12010078
http://www.wikidata.org/entity/Q12010216,Q12010216
http://www.wikidata.org/entity/Q12047093,Q12047093
http://www.wikidata.org/entity/Q12097931,Q12097931
http://www.wikidata.org/entity/Q12098872,Q12098872
http://www.wikidata.org/entity/Q12101708,Q12101708
http://www.wikidata.org/entity/Q12106406,Q12106406
http://www.wikidata.org/entity/Q12106407,Q12106407
http://www.wikidata.org/entity/Q12112323,Q12112323
http://www.wikidata.org/entity/Q12112543,Q12112543
http://www.wikidata.org/entity/Q12116097,Q12116097
http://www.wikidata.org/entity/Q12118364,Q12118364
http://www.wikidata.org/entity/Q12122170,Q12122170
http://www.wikidata.org/entity/Q12123624,Q12123624
http://www.wikidata.org/entity/Q12130691,Q12130691
http://www.wikidata.org/entity/Q12136045,Q12136045
http://www.wikidata.org/entity/Q12144106,Q12144106
http://www.wikidata.org/entity/Q12144470,Q12144470
http://www.wikidata.org/entity/Q12145147,Q12145147
http://www.wikidata.org/entity/Q12145158,Q12145158
http://www.wikidata.org/entity/Q12154047,Q12154047
http://www.wikidata.org/entity/Q12162642,Q12162642
http://www.wikidata.org/entity/Q12166078,Q12166078
http://www.wikidata.org/entity/Q12199188,Q12199188
http://www.wikidata.org/entity/Q12242876,Q12242876
http://www.wikidata.org/entity/Q1227187,Q1227187
http://www.wikidata.org/entity/Q1227188,Q1227188
http://www.wikidata.org/entity/Q12300774,Q12300774
http://www.wikidata.org/entity/Q12301267,Q12301267
http://www.wikidata.org/entity/Q12302042,Q12302042
http://www.wikidata.org/entity/Q12302371,Q12302371
http://www.wikidata.org/entity/Q12302520,Q12302520
http://www.wikidata.org/entity/Q12302724,Q12302724
http://www.wikidata.org/entity/Q12302815,Q12302815
http://www.wikidata.org/entity/Q12303232,Q12303232
http://www.wikidata.org/entity/Q12303392,Q12303392
http://www.wikidata.org/entity/Q12303488,Q12303488
http://www.wikidata.org/entity/Q12303536,Q12303536
http://www.wikidata.org/entity/Q12304722,Q12304722
http://www.wikidata.org/entity/Q12304723,Q12304723
http://www.wikidata.org/entity/Q12304731,Q12304731
http://www.wikidata.org/entity/Q12305610,Q12305610
http://www.wikidata.org/entity/Q12305624,Q12305624
http://www.wikidata.org/entity/Q12305727,Q12305727
http://www.wikidata.org/entity/Q12306661,Q12306661
http://www.wikidata.org/entity/Q12307787,Q12307787
http://www.wikidata.org/entity/Q12308823,Q12308823
http://www.wikidata.org/entity/Q12308998,Q12308998
http://www.wikidata.org/entity/Q12309697,Q12309697
http://www.wikidata.org/entity/Q12310259,Q12310259
http://www.wikidata.org/entity/Q12310540,Q12310540
http://www.wikidata.org/entity/Q12311797,Q12311797
http://www.wikidata.org/entity/Q12312126,Q12312126
http://www.wikidata.org/entity/Q12313255,Q12313255
http://www.wikidata.org/entity/Q12314089,Q12314089
http://www.wikidata.org/entity/Q12314384,Q12314384
http://www.wikidata.org/entity/Q12314594,Q12314594
http://www.wikidata.org/entity/Q12314916,Q12314916
http://www.wikidata.org/entity/Q12317027,Q12317027
http://www.wikidata.org/entity/Q12317268,Q12317268
http://www.wikidata.org/entity/Q12318288,Q12318288
http://www.wikidata.org/entity/Q12318405,Q12318405
http://www.wikidata.org/entity/Q1231852,Q1231852
http://www.wikidata.org/entity/Q12321017,Q12321017
http://www.wikidata.org/entity/Q12321226,Q12321226
http://www.wikidata.org/entity/Q12322503,Q12322503
http://www.wikidata.org/entity/Q12322677,Q12322677
http://www.wikidata.org/entity/Q12322687,Q12322687
http://www.wikidata.org/entity/Q12324341,Q12324341
http://www.wikidata.org/entity/Q12324375,Q12324375
http://www.wikidata.org/entity/Q12324692,Q12324692
