Satz#;NAME;VORNAME;GEBDAT;;;GEBZEIT;;AMPM;ZEITZONE;GEBORT;LO1;LO2;LA1;LA2;SPORTART;MARS;BATCH
120;Frazier;Joe;17;1;1944;7;0;A;5;SC;80;40;32;26;BOXI;22;1
121;Fujii;Paul Takashi;6;7;1940;12;30;P1;0,5;HI;157;52;21;19;BOXI;8;3
122;Fullmer;Donald;21;2;1939;2;40;A;7;UT;111;55;40;36;BOXI;1;3
123;Fullmer;Gene;21;7;1931;3;35;P;7;UT;111;55;40;36;BOXI;9;3
124;Gabriel;Roman;5;8;1940;10;5;P;5;NC;77;55;34;14;FOOT;23;1
125;Gagne;Verne;26;2;1926;11;15;P;6;MN;93;16;44;59;WRES;30;1
126;Gain;Robert;21;6;1929;3;9;A;5;OH;81;31;41;5;FOOT;26;2
127;Gambee;Dave;16;2;1937;9;50;A;8;OR;122;37;45;32;BASK;17;2
128;Gianelli;John;10;6;1950;11;49;A;8;CA;121;17;37;57;BASK;34;2
129;Gibson;Althea;25;8;1927;9;0;A;5;SC;80;20;33;40;TRAC;3;1
130;Giel;Paul;29;9;1932;5;35;P;6;MN;91;38;44;3;FOOT;23;3
131;Gilliam;John R;7;8;1945;12;0;P;5;SC;82;9;34;12;FOOT;13;1
132;Gillingham;Gale;3;2;1944;3;52;P;6;WI;89;24;43;4;FOOT;4;1
133;Gilmer;Harry;14;4;1926;9;5;P;6;AL;86;48;33;31;FOOT;29;2
134;Glover;Richard;6;2;1950;10;16;A;5;NJ;74;4;40;44;FOOT;20;2
135;Gordon;Richard/F;1;1;1944;4;5;P;6;OH;84;31;39;6;FOOT;2;1
136;Gradishar;Randy;3;3;1952;9;23;P;5;OH;80;51;41;18;FOOT;34;2
137;Grayson;Robert;8;12;1913;6;0;A;8;OR;122;37;45;32;FOOT;13;2
138;Green;John;8;12;1933;1;21;A;5;OH;84;12;39;45;BASK;26;2
139;Grelle;Jim;30;9;1936;5;45;A;8;OR;122;37;45;32;TRAC;4;2
140;Griffin;Archie;21;8;1954;5;0;P;5;OH;83;0;39;58;FOOT;2;1
141;Groman;William;17;7;1936;7;45;A;5;OH;83;11;41;7;FOOT;4;2
142;Groza;Alex;7;10;1926;9;45;P;5;OH;80;44;40;6;BASK;3;2
143;Groza;Louis;25;1;1924;2;15;A;5;OH;80;44;40;6;FOOT;35;2
144;Hackbart;Dale;21;7;1938;8;0;A;6;WI;89;24;43;4;FOOT;4;2
145;Hadl;John;15;2;1940;2;4;A;6;KS;95;14;38;58;FOOT;23;1
