221M Gerelli, Attilio;1890;04;14;02;00;-0,83;Piacenza PC;45;-9,75
222M Gherardi, Gherardo;1891;07;02;20;30;-0,83;Granaglione BO;44,5;-11
223M Gherardini, Amedeo;1871;12;06;04;00;-0,83;Lendinara RO;45;-12,25
224M Ghidini, Luigi;1883;03;24;05;00;-0,83;Cologne al Seri BG;45,6;-9,75
225M Ghisalberti, Mario;1902;09;11;11;00;-1;Venezia VE;45,5;-12,5
226M Giannini, Guglielmo;1891;10;14;23;04;-0,83;Pozzuoli NA;40,9;-14
227M Giannitrapani, Luigi;1868;03;03;16;15;-0,88;Trapani TP;38;-12,5
228M Ginnari, Biagio;1885;11;04;11;15;-0,83;Maratea PZ;40,5;-15,75
229M Giordana, Carlo;1877;07;05;21;00;-0,83;Crema CR;45,2;-11
232M Giuliotti, Domenico;1877;02;18;13;15;-0,83;S.casciano Val FI;43,7;-11,5
234M Gotta, Salvatore;1887;05;18;15;40;-0,83;Montalto Dora TO;45;-8
235M Govi, Mario;1880;02;14;03;30;-0,83;Carpi MO;44,6;-11,25
236M Govoni, Corrado;1884;10;29;07;30;-0,83;Tamara FE;44,7;-12,5
238M Grassi, Giuseppe;1881;02;28;15;00;-0,83;Martina Franca TA;40,5;-17,5
239M Grassi-Bertazzi, Giambattista;1867;12;25;05;00;-0,88;Acireale CT;37,5;-15
240M Grazzini, Enzo;1902;01;14;01;30;-1;Firenze FI;43,7;-11,5
241M Grossi, E.A.;1898;07;13;23;45;-1;Villalatina FR;41,6;-13,25
242M Guandalini, Ugo;1905;03;09;04;10;-1;Modena MO;44,6;-11,25
243M Guelfi, Camajani Piero;1896;01;16;01;30;-1;Firenze FI;43,7;-11,5
244M Guenzati, Giuseppe;1902;04;12;23;59;-1;Milano MI;45,5;-9,25
245M Ienco, Elpidio;1892;02;09;17;08;-0,83;Capodrise CE;41,1;-14,5
246M Jacobbi, Ruggero;1920;02;21;17;45;-1;Venezia VE;45,5;-12,5
247M Jacono, Antonio;1900;07;24;13;15;-1;Comiso RG;37;-14,75
251M Lelli, Renato;1899;08;02;07;00;-1;Bologna BO;44,5;-11
252M Leoni, Giulio Davide;1902;08;24;22;05;-1;Ostiglia MN;45,2;-11
253M Levasti, Arrigo;1886;04;22;23;30;-0,83;Modena MO;44,6;-11,25
254M Linati, Carlo;1878;04;25;05;00;-0,83;Coma CO;45,8;-9,25
255M Lipparini, Giuseppe;1877;09;02;14;45;-0,83;Bologna BO;44,5;-11
256M Lisi, Nicola;1893;04;11;02;30;-0,83;Scarperia FI;43,7;-11,5
258M Lombardi, Antonio;1898;12;15;03;00;-1;Catanzaro CZ;39;-17,5
259M Longhi, Roberto;1890;12;28;21;00;-0,83;Alba CN;44,4;-7,25
260M Luciani, Virgilio;1896;10;19;07;00;-1;Capannori LU;43,7;-11
261M Luisi, Mariano;1891;10;18;18;45;-0,83;Casalbuono SA;40,7;-15,25
262M Luongo, Giuseppe;1896;12;05;18;07;-1;Ustica PA;38;-13,5
263M Lusini, Aldo;1899;06;08;03;30;-1;Siena SI;43,3;-11,75
264M Macchi, Giuseppe;1873;03;11;20;00;-0,83;Gallarate VA;45,8;-9
265M Maffii, Maffio;1881;08;06;23;52;-0,83;Firenze FI;43,7;-11,5
266M Magni, Ettore;1880;09;08;21;00;-0,83;Livorno LI;43,6;-9,5
267M Malaparte, Curzio;1898;06;09;23;00;-1;Prate FI;43,7;-11,5
268M Malpassuti, Vittorio;1889;09;22;01;00;-0,83;Carbonara Scriv AL;45;-9
269M Manacorda, Guide;1879;06;05;15;15;-0,83;Acqui AL;45;-9
272M Marchetti, Aroldo;1908;05;21;17;00;-1;Ancona AN;43,7;-13,75
273M Marescotti, Ercole Arturo;1866;05;16;15;30;LMT;Cuccaro Monferr AL;45;-9
274M Margadonna, Ettore;1893;10;30;17;10;-0,83;Palena CH;42,3;-14,25
275M Marini, Giuseppe;1875;05;03;17;12;-0,83;Tagliacozzo AQ;42,4;#VALEUR !
276M Marmorale, Enzo V.;1901;04;13;14;00;-1;Paduli BN;41,3;-15
277M Martini, Carlo;1908;01;22;20;15;-1;Milano MI;45,5;-9,25
278M Martini, Mario Maria;1880;10;10;22;30;-0,83;Geneva GE;44,4;-9
279F Masino, Paola;1908;05;20;22;00;-1;Pisa PI;43,7;-10,5
280M Matteucci, Benvenuto;1910;02;02;20;00;-1;Carmignano FI;43,7;-11,5
281M Mazzucchelli, Mario;1896;04;17;06;30;-1;Gallarate VA;45,8;-9
282M Mazzucconi, Ridolfo;1889;05;02;04;00;-0,83;Firenze FI;43,7;-11,5
283M Meano, Cesare;1899;12;22;04;30;-1;Torino TO;45;-8
285M Male, Giulio;1894;06;03;07;00;-1;Bergamo BG;45,6;-9,75
286M Melotti, Rosolino Antonio;1900;04;11;19;30;-1;Lodi MI;45,5;-9,25
287M Mencarini, Giuseppe;1900;11;14;14;00;-1;Livorno LI;43,6;-9,5
288M Meoni, Armando;1894;01;18;12;00;-1;Prate FI;43,7;-11,5
290M Migliore, Benedetto;1892;02;03;16;30;-0,88;Trapani TP;38;-12,5
293M Moizo, Romolo;1888;05;10;06;45;-0,83;Moncalvo AX;44,9;-8,5
295M Montale, Eugenic;1896;10;12;23;00;-1;Geneva GE;44,4;-9
296M Montana, Lorenzo;1893;04;19;12;10;-0,83;Verona VE;45,5;-12,5
297M Mantel, Alberta;1907;07;16;17;30;-1;Torino TO;45;-8
298M Morandi, Rodolfo;1902;07;30;09;15;-1;Milano MI;45,5;-9,25
300M Morbelli, Riccardo;1907;02;02;21;30;-1;Orsara Bormida AL;45;-9
301M Moretti, Marino;1885;07;18;06;30;-0,83;Cesenatico FO;44,2;-12,5
303F Morozzo della Rocca, Adele;1880;11;05;15;00;-0,83;Alessandria AL;45;-9
304M Moscardino, Mario;1910;08;18;11;30;-1;Sassari SS;40,8;-8,5
